     mag        RA       DEC         x         y         z        vx        vy        vz 
   23.19    239.75      5.31     -40.3     -75.8       7.9       1.1      22.0       3.0 
   19.82    244.54      5.93     -37.5     -75.8       7.8       1.2      25.1       5.6 
   22.55    243.09      3.58     -40.1     -79.2       5.2       6.0      29.1       0.4 
   23.09    239.06      4.51     -40.9     -76.1       7.2       2.7      26.3      -2.7 
   22.76     244.4      6.58     -37.4     -72.8       9.4      -0.2      28.4       1.4 
   23.13    235.36      5.42     -48.8     -76.2       8.7      -0.1      23.2       3.3 
   23.02     242.3      3.15     -39.0     -78.3       4.8       4.4      22.5      -0.9 
   23.15    245.49      4.03     -36.5     -82.9       5.7       4.0      24.9       2.3 
    22.8    243.13     -3.06     -37.7     -76.9      -4.5      -1.2      21.5       0.0 
   22.86    243.55      5.12     -36.5     -79.5       6.7       3.3      23.0       2.0 
   22.94    242.91      5.41     -37.1     -78.8       8.2       6.1      25.2       2.5 
   19.79     248.7     -1.05     -32.8     -80.3      -1.5       1.5      26.0       6.6 
   23.16    242.62      1.97     -38.6     -74.7       2.9       1.1      25.0       2.8 
   23.11    236.76     -0.93     -43.8     -70.3      -1.3       1.8      22.8       4.1 
   21.87    240.42      10.4     -44.8     -82.2      14.3       3.8      23.2       1.9 
   22.44    247.99     11.26     -31.2     -80.4      16.5       1.1      26.1       4.6 
   23.04    247.03      3.66     -33.0     -77.7       4.8       4.9      22.0       3.1 
   23.06    241.95      4.44     -39.6     -73.9       6.1      -0.3      26.6       2.2 
   22.95    244.54       2.0     -35.8     -82.3       2.9       3.9      21.7       4.6 
   22.83    238.18      3.94     -43.7     -70.1       5.8       1.5      25.4       4.4 
   22.19    243.69      9.52     -36.0     -84.7      13.8       3.2      23.5      -1.5 
   23.08    243.14      5.45     -37.4     -66.9       8.0       3.4      21.0       3.2 
   22.98    246.22      1.46     -33.4     -78.9       2.1       1.8      29.5       4.0 
   22.73    240.47      0.72     -39.2     -77.4       1.0       1.4      25.6       1.7 
   23.13    245.74      8.11     -35.3     -73.9      13.3       4.2      25.1       3.7 
    23.1    240.03      2.88     -39.4     -73.3       4.0       0.2      27.6       2.1 
   22.65    240.86      7.28     -42.9     -75.0      10.1       0.9      25.1       4.3 
   23.13    243.66      5.68     -37.9     -80.6       7.9       0.5      26.8       0.5 
   23.11    242.29      8.14     -41.5     -72.3      11.7       3.9      21.7      -0.7 
   22.99     247.6      2.02     -32.1     -81.9       2.8       2.2      22.4      -1.0 
   23.17    244.73      2.43     -37.1     -84.7       3.7       2.8      30.3       4.7 
   20.22    243.06      2.32     -36.5     -75.2       3.6       2.7      25.2       1.4 
   22.91    242.94      7.62     -40.3     -74.9      10.6      -0.1      22.8       2.8 
   22.57    249.65      5.22     -29.9     -79.2       8.1       0.5      22.0       4.0 
   22.94    244.97      6.12     -31.5     -76.6       9.0       2.3      24.2       3.3 
   23.16    246.08      5.98     -35.2     -83.1       8.3       2.0      26.7       0.1 
    23.2    235.33      3.37     -50.3     -68.9       6.0       1.6      26.9       1.1 
   22.77    238.98      4.08     -42.0     -79.5       6.3       5.2      23.7       2.1 
   21.23    240.05       2.5     -44.7     -76.4       3.5       0.1      23.9       2.7 
   23.13    247.61      4.57     -32.2     -72.6       6.9       1.7      24.8       5.3 
   23.18    241.06      4.94     -39.4     -75.0       7.0      -0.0      24.4       0.2 
   22.41    243.42      3.37     -37.2     -80.3       5.4       3.8      24.4       4.2 
    22.8    246.81      6.69     -31.8     -73.3       9.8       2.0      25.9       5.2 
    22.7    241.94      5.56     -39.7     -70.2       6.6       3.8      25.2       4.7 
   23.17    240.55      0.34     -40.2     -81.0       0.5       0.1      25.0       1.4 
   22.92    247.65      7.43     -30.6     -90.7      11.0       1.7      25.8       4.0 
    20.0     244.2     10.12     -36.2     -69.9      14.6       4.0      22.2      -0.3 
   23.18    242.58       4.5     -37.2     -69.4       7.1       2.5      21.7       4.0 
   19.93    242.04      7.73     -38.7     -70.7      13.0      -0.6      24.6       2.8 
   22.89    242.95      8.47     -36.6     -77.8      13.3       0.8      24.7       1.8 
   22.64    244.36      2.96     -38.1     -73.9       4.3       2.8      22.7       1.4 
   20.24    245.31      5.66     -34.9     -78.9       7.8       2.2      24.5       1.3 
   22.82    238.01     10.52     -46.4     -77.7      15.8       3.1      23.4       3.6 
   23.04    240.41      4.81     -43.3     -71.2       7.8       4.7      25.7       1.6 
   23.19    242.35      6.51     -38.2     -76.8       9.1       0.1      25.5       1.5 
   23.14    245.25      2.49     -37.8     -77.9       3.7       6.5      24.5       2.4 
    23.0    243.84      1.25     -41.5     -72.3       2.1       2.1      21.0      -0.1 
   22.77    240.98     -3.79     -41.2     -68.3      -5.1       3.0      25.9       4.7 
   22.92    239.39      5.02     -41.3     -74.0       8.2       3.5      26.6       3.4 
   22.84    248.96      2.37     -27.5     -83.0       3.5      -1.8      22.7       4.0 
   22.72    240.36       9.1     -40.5     -75.5      13.9       2.5      21.5       1.0 
   22.47    245.36      1.31     -33.4     -72.5       1.8       0.6      26.0       3.1 
   22.06    244.67      0.88     -38.4     -84.4       1.2       2.1      25.2       0.6 
   22.96    243.72      7.77     -35.8     -77.7      11.1       4.5      23.8       0.6 
   23.09    252.06      9.29     -25.5     -86.8      14.1       1.6      24.9       1.1 
    22.5    244.44      3.62     -33.2     -79.0       5.1       0.6      23.2       0.1 
   22.97    245.21      4.25     -35.8     -69.0       6.3       2.2      25.4       1.5 
   23.14    242.55      7.16     -37.1     -73.7      11.2       7.0      22.7       0.7 
   21.55    247.76      4.41     -33.0     -75.7       6.2       0.4      20.7       0.6 
